,skin,fat,muscle,ijv,cca
188,25.0,23.0,6.5,30.25,30.25
189,25.0,23.0,6.5,23.0,23.0
190,25.0,23.0,5.25,52.0,52.0
191,25.0,23.0,5.25,44.75,44.75
192,25.0,23.0,5.25,37.5,37.5
193,25.0,23.0,5.25,30.25,30.25
194,25.0,23.0,5.25,23.0,23.0
195,25.0,23.0,4.0,52.0,52.0
196,25.0,23.0,4.0,44.75,44.75
197,25.0,23.0,4.0,37.5,37.5
198,25.0,23.0,4.0,30.25,30.25
199,25.0,23.0,4.0,23.0,23.0
200,25.0,20.833333333333332,9.0,52.0,52.0
201,25.0,20.833333333333332,9.0,44.75,44.75
202,25.0,20.833333333333332,9.0,37.5,37.5
203,25.0,20.833333333333332,9.0,30.25,30.25
204,25.0,20.833333333333332,9.0,23.0,23.0
205,25.0,20.833333333333332,7.75,52.0,52.0
206,25.0,20.833333333333332,7.75,44.75,44.75
207,25.0,20.833333333333332,7.75,37.5,37.5
208,25.0,20.833333333333332,7.75,30.25,30.25
209,25.0,20.833333333333332,7.75,23.0,23.0
210,25.0,20.833333333333332,6.5,52.0,52.0
211,25.0,20.833333333333332,6.5,44.75,44.75
212,25.0,20.833333333333332,6.5,37.5,37.5
213,25.0,20.833333333333332,6.5,30.25,30.25
214,25.0,20.833333333333332,6.5,23.0,23.0
215,25.0,20.833333333333332,5.25,52.0,52.0
216,25.0,20.833333333333332,5.25,44.75,44.75
217,25.0,20.833333333333332,5.25,37.5,37.5
218,25.0,20.833333333333332,5.25,30.25,30.25
219,25.0,20.833333333333332,5.25,23.0,23.0
220,25.0,20.833333333333332,4.0,52.0,52.0
221,25.0,20.833333333333332,4.0,44.75,44.75
222,25.0,20.833333333333332,4.0,37.5,37.5
223,25.0,20.833333333333332,4.0,30.25,30.25
224,25.0,20.833333333333332,4.0,23.0,23.0
225,25.0,18.666666666666668,9.0,52.0,52.0
226,25.0,18.666666666666668,9.0,44.75,44.75
227,25.0,18.666666666666668,9.0,37.5,37.5
228,25.0,18.666666666666668,9.0,30.25,30.25
229,25.0,18.666666666666668,9.0,23.0,23.0
230,25.0,18.666666666666668,7.75,52.0,52.0
231,25.0,18.666666666666668,7.75,44.75,44.75
232,25.0,18.666666666666668,7.75,37.5,37.5
233,25.0,18.666666666666668,7.75,30.25,30.25
234,25.0,18.666666666666668,7.75,23.0,23.0
235,25.0,18.666666666666668,6.5,52.0,52.0
236,25.0,18.666666666666668,6.5,44.75,44.75
237,25.0,18.666666666666668,6.5,37.5,37.5
238,25.0,18.666666666666668,6.5,30.25,30.25
239,25.0,18.666666666666668,6.5,23.0,23.0
240,25.0,18.666666666666668,5.25,52.0,52.0
241,25.0,18.666666666666668,5.25,44.75,44.75
242,25.0,18.666666666666668,5.25,37.5,37.5
243,25.0,18.666666666666668,5.25,30.25,30.25
244,25.0,18.666666666666668,5.25,23.0,23.0
245,25.0,18.666666666666668,4.0,52.0,52.0
246,25.0,18.666666666666668,4.0,44.75,44.75
247,25.0,18.666666666666668,4.0,37.5,37.5
248,25.0,18.666666666666668,4.0,30.25,30.25
249,25.0,18.666666666666668,4.0,23.0,23.0
250,25.0,16.5,9.0,52.0,52.0
251,25.0,16.5,9.0,44.75,44.75
252,25.0,16.5,9.0,37.5,37.5
253,25.0,16.5,9.0,30.25,30.25
254,25.0,16.5,9.0,23.0,23.0
255,25.0,16.5,7.75,52.0,52.0
256,25.0,16.5,7.75,44.75,44.75
257,25.0,16.5,7.75,37.5,37.5
258,25.0,16.5,7.75,30.25,30.25
259,25.0,16.5,7.75,23.0,23.0
260,25.0,16.5,6.5,52.0,52.0
261,25.0,16.5,6.5,44.75,44.75
262,25.0,16.5,6.5,37.5,37.5
263,25.0,16.5,6.5,30.25,30.25
264,25.0,16.5,6.5,23.0,23.0
265,25.0,16.5,5.25,52.0,52.0
266,25.0,16.5,5.25,44.75,44.75
267,25.0,16.5,5.25,37.5,37.5
268,25.0,16.5,5.25,30.25,30.25
269,25.0,16.5,5.25,23.0,23.0
270,25.0,16.5,4.0,52.0,52.0
271,25.0,16.5,4.0,44.75,44.75
272,25.0,16.5,4.0,37.5,37.5
273,25.0,16.5,4.0,30.25,30.25
274,25.0,16.5,4.0,23.0,23.0
275,25.0,14.333333333333334,9.0,52.0,52.0
276,25.0,14.333333333333334,9.0,44.75,44.75
277,25.0,14.333333333333334,9.0,37.5,37.5
278,25.0,14.333333333333334,9.0,30.25,30.25
279,25.0,14.333333333333334,9.0,23.0,23.0
280,25.0,14.333333333333334,7.75,52.0,52.0
281,25.0,14.333333333333334,7.75,44.75,44.75
282,25.0,14.333333333333334,7.75,37.5,37.5
283,25.0,14.333333333333334,7.75,30.25,30.25
284,25.0,14.333333333333334,7.75,23.0,23.0
285,25.0,14.333333333333334,6.5,52.0,52.0
286,25.0,14.333333333333334,6.5,44.75,44.75
287,25.0,14.333333333333334,6.5,37.5,37.5
288,25.0,14.333333333333334,6.5,30.25,30.25
289,25.0,14.333333333333334,6.5,23.0,23.0
290,25.0,14.333333333333334,5.25,52.0,52.0
291,25.0,14.333333333333334,5.25,44.75,44.75
292,25.0,14.333333333333334,5.25,37.5,37.5
293,25.0,14.333333333333334,5.25,30.25,30.25
294,25.0,14.333333333333334,5.25,23.0,23.0
295,25.0,14.333333333333334,4.0,52.0,52.0
296,25.0,14.333333333333334,4.0,44.75,44.75
297,25.0,14.333333333333334,4.0,37.5,37.5
298,25.0,14.333333333333334,4.0,30.25,30.25
299,25.0,14.333333333333334,4.0,23.0,23.0
300,25.0,12.166666666666668,9.0,52.0,52.0
301,25.0,12.166666666666668,9.0,44.75,44.75
302,25.0,12.166666666666668,9.0,37.5,37.5
303,25.0,12.166666666666668,9.0,30.25,30.25
304,25.0,12.166666666666668,9.0,23.0,23.0
305,25.0,12.166666666666668,7.75,52.0,52.0
306,25.0,12.166666666666668,7.75,44.75,44.75
307,25.0,12.166666666666668,7.75,37.5,37.5
308,25.0,12.166666666666668,7.75,30.25,30.25
309,25.0,12.166666666666668,7.75,23.0,23.0
310,25.0,12.166666666666668,6.5,52.0,52.0
311,25.0,12.166666666666668,6.5,44.75,44.75
312,25.0,12.166666666666668,6.5,37.5,37.5
313,25.0,12.166666666666668,6.5,30.25,30.25
314,25.0,12.166666666666668,6.5,23.0,23.0
315,25.0,12.166666666666668,5.25,52.0,52.0
316,25.0,12.166666666666668,5.25,44.75,44.75
317,25.0,12.166666666666668,5.25,37.5,37.5
318,25.0,12.166666666666668,5.25,30.25,30.25
319,25.0,12.166666666666668,5.25,23.0,23.0
320,25.0,12.166666666666668,4.0,52.0,52.0
321,25.0,12.166666666666668,4.0,44.75,44.75
322,25.0,12.166666666666668,4.0,37.5,37.5
323,25.0,12.166666666666668,4.0,30.25,30.25
324,25.0,12.166666666666668,4.0,23.0,23.0
325,25.0,10.0,9.0,52.0,52.0
326,25.0,10.0,9.0,44.75,44.75
327,25.0,10.0,9.0,37.5,37.5
328,25.0,10.0,9.0,30.25,30.25
329,25.0,10.0,9.0,23.0,23.0
330,25.0,10.0,7.75,52.0,52.0
331,25.0,10.0,7.75,44.75,44.75
332,25.0,10.0,7.75,37.5,37.5
333,25.0,10.0,7.75,30.25,30.25
334,25.0,10.0,7.75,23.0,23.0
335,25.0,10.0,6.5,52.0,52.0
336,25.0,10.0,6.5,44.75,44.75
337,25.0,10.0,6.5,37.5,37.5
